"","RN","PN","Rdate"
"4089","MN169560","QDK57649","2019/02/20"
"9900","MK745568","QBS21929","2019/01/22"
"8235","MK474891","QAY27499","2018/11/28"
"3458","MK363483","AZS63762","2018/11/05"
"8238","MK555122","QBF65783","2018/12/06"
"10911","MK745688","QBS22109","2018/12/03"
"8418","MK677251","QBP38856","2019/01/28"
"3649","MN222082","QDQ44360","2019/04/23"
"10401","MK745616","QBS22001","2019/01/07"
"3681","MN372679","QEI02192","2019/05/06"
"287","MK474845","QAY27431","2018/11/17"
"305","MK380017","AZY31622","2018/10/30"
"10340","MK840091","QCF43719","2019/02/05"
"10343","MK869347","QCH42448","2019/02/08"
"2784","MK623092","QBL90007","2018/12/10"
"2036","MK474861","QAY27455","2018/11/29"
"13815","MH601026","AXB52273","2018/04/24"
"8111","MH898333","AXY84707","2018/07/23"
"3315","MK744912","QBS20946","2018/12/26"
"13251","MK743866","QBS19747","2019/01/19"
"12887","MK244859","AZG02734","2018/09/22"
"14730","MK745920","QBS22457","2019/01/01"
"5612","MK624235","QBL91624","2018/12/20"
"6482","MK474907","QAY27524","2018/12/04"
"6483","MK474877","QAY27479","2018/12/04"
"3287","MK744904","QBS20934","2019/01/03"
"3226","MN423622","QEN96909","2019/05/28"
"7308","MN372911","QEI02540","2019/05/25"
"6761","MK241396","AZF87508","2018/03/24"
"9985","MK241117","AZF87087","2018/04/04"
"3931","MH358630","AWK69723","2018/03/21"
"10858","MK077448","AYN08198","2018/09/06"
"10859","MK268455","AYN08198","2018/09/06"
"5352","MK592844","QBJ05991","2018/10/05"
"8952","MK077424","AYN08162","2018/09/05"
"4516","MK244827","AZG02686","2018/10/02"
"4555","MK380025","AZY31630","2018/10/22"
"3228","MK398599","QAB01801","2018/11/03"
"1665","MK744776","QBS20742","2019/01/04"
"6098","MK623132","QBL90067","2018/12/01"
"10699","MK677299","QBP38928","2019/01/11"
"7701","MK495277","QBA82326","2019/01/09"
"4123","MN061115","QDA45714","2019/02/28"
"7140","MK181851","AYW00451","2018/09/16"
"5432","MH358662","AWK69770","2018/03/23"
"6489","MK555042","QBF65663","2018/12/15"
"5679","MK381482","AZY87045","2018/02/04"
"5683","MK502672","QBA98827","2018/03/19"
"7311","MK181767","AYW00324","2018/08/20"
"11548","MK159851","AWW21048","2018/05/28"
"11568","MK159804","AYV62659","2018/06/18"
"11571","MK159820","AYV62683","2018/07/11"
"5339","MH201580","AVZ24015","2017/11/28"
"3142","MH126606","AVR41978","2018/01/19"
"5791","MH778982","AXP19243","2018/01/06"
"2185","MG914339","AKQ09862","2017/12/02"
"2143","MG914227","AKQ09862","2017/12/18"
"527","MG914099","AUZ98490","2017/11/14"
"508","CY264481","AUM85707","2017/11/24"
"7541","MH601769","AXB53362","2018/02/02"
"2044","MH701140","AXH80666","2018/01/02"
"501","CY264092","AUM85123","2017/11/07"
"1741","CY261367","AUH31035","2017/10/30"
"7635","CY250091","ATP80856","2017/09/23"
"480","CY256037","ATX61197","2017/10/02"
"10526","MH779052","AXP19313","2018/01/22"
"7442","MH294721","AWH63482","2017/09/29"
"11704","MG984289","AVH86823","2017/05/16"
"11707","MG984313","AVH86859","2017/06/23"
"11721","MG984162","AVH86632","2017/09/27"
"3684","MH294827","AWH63585","2017/12/13"
"13566","MF673284","ASW34281","2017/04/26"
"5668","MG066684","ATO93967","2017/08/01"
"12982","CY250659","ATU90001","2017/10/19"
"5335","MH201579","AVZ24014","2017/11/21"
"5338","MH201578","AVZ24013","2017/11/10"
"5319","MH201576","AVZ24011","2017/10/09"
"5324","MH201575","AVZ24010","2017/10/26"
"5325","MH201587","AVZ24022","2017/10/31"
"5323","MH201591","AVZ24026","2017/10/30"
"2930","MH126585","AVR41947","2018/01/29"
"1983","MH885177","AXX75334","2018/01/22"
"15022","CY234626","ASB16476","2017/04/20"
"3605","CY238907","ASM91268","2017/06/07"
"8900","CY258188","ATZ79407","2017/10/26"
"13162","MH885275","AXX75432","2018/01/11"
"5787","MH294839","AWH63597","2017/12/12"
"12478","MK502920","QBA99190","2018/01/24"
"9072","CY264330","AUM85480","2017/11/10"
"5316","MH201521","AVZ23175","2017/10/16"
"13958","MG974948","AVG72250","2017/12/26"
"1719","CY260849","AUH29886","2017/11/06"
"5667","MG066682","ATO93965","2017/05/22"
"13497","MF673285","ASW34282","2017/05/15"
"4503","CY256189","ATX61480","2017/10/02"
"6389","CY261535","AUH31474","2017/11/14"
"6383","CY250107","ATP80891","2017/10/04"
"3474","MH601339","AXB52731","2017/09/28"
"14780","CY242054","ASV64177","2017/06/29"
"3899","CY247142","ATP80101","2017/06/13"
"5789","MH778980","AXP19241","2018/01/17"
"3304","MH600641","AXB51695","2018/03/14"
"239","CY243567","ASZ79598","2017/06/30"
"12389","CY243471","ASZ79410","2017/08/04"
"6120","MH885212","AXX75369","2018/01/18"
"13746","MH127297","AVR43015","2018/01/11"
"5948","MH443532","AWQ64761","2018/01/09"
"8166","MH307122","AWI46542","2018/01/26"
"14481","CY256165","ATX61422","2017/09/28"
"14233","CY263176","AUI43406","2017/11/24"
"14236","CY263184","AUI43418","2017/11/24"
"6809","MH885214","AXX75371","2018/01/23"
"13200","MH127241","AVR42931","2018/01/23"
"13201","MH307266","AVR42931","2018/01/23"
"7668","CY264870","AUP48432","2017/12/07"
"14450","MK624627","QBL92212","2018/12/18"
"14449","MK772072","QBY32479","2018/12/10"
"4561","MK745064","QBS21173","2018/12/31"
"8117","MK363380","AZS63607","2018/10/10"
"5705","MN169608","QDK57719","2019/02/16"
"14256","MH601049","AXB52307","2018/04/11"
"12476","MK400782","QAB03250","2018/01/08"
"12472","MK381501","AZY87064","2017/12/29"
"7397","CY245286","ATI23065","2017/09/03"
"5327","MH201452","AVZ00480","2017/09/13"
"5329","MH201451","AVZ00479","2017/09/22"
"6698","MH307034","AWI46410","2018/02/08"
"3152","MH126625","AVR42007","2018/01/26"
"4068","MK401386","QAB04152","2018/02/21"
"5328","MH201453","AVZ00481","2017/09/14"
"8886","CY258180","ATZ79395","2017/10/21"
"12782","CY264409","AUM85599","2017/11/24"
"14971","CY249939","ATP80496","2017/09/22"
"284","CY245134","ATI22743","2017/09/01"
"2992","MG830948","AUS93737","2017/12/08"
"5318","MH201519","AVZ23173","2017/09/02"
"5314","MH201524","AVZ23178","2017/09/22"
"6414","MH328005","AWJ58515","2017/09/25"
"5306","MH201530","AVZ23184","2017/08/11"
"5308","MH201531","AVZ23185","2017/08/21"
"2023","CY256125","ATX61351","2017/10/17"
"6822","CY255877","ATX60836","2017/10/09"
"5309","MH201529","AVZ23183","2017/08/30"
"5340","MH201581","AVZ24016","2017/12/15"
"5326","MH201454","AVZ00482","2017/09/20"
"7116","CY257989","ATZ78944","2017/10/13"
"10419","MH127113","AVR42739","2018/01/31"
"12477","MK400784","QAB03252","2018/01/25"
"7097","CY244729","ATD52177","2017/08/15"
"7648","CY258436","ATZ79966","2017/10/19"
"2022","CY256117","ATX61339","2017/10/16"
"10020","CY263200","AUI43464","2017/12/04"
"10036","MH601850","AXB53480","2017/10/23"
"3203","CY247182","ATP80161","2017/09/17"
"2171","MK898765","AKQ09862","2017/11/01"
"5332","MH201469","AVZ00484","2017/10/17"
"13842","CY265149","AUP49421","2017/12/09"
"2012","CY260356","AUH28477","2017/10/03"
"14482","CY256181","ATX61446","2017/09/30"
"296","MH294882","AWH63640","2017/12/29"
"12276","MH294726","AWH63487","2017/10/06"
"5315","MH201520","AVZ23174","2017/09/18"
"5331","MH201468","AVZ00483","2017/09/17"
"2851","MH885181","AXX75338","2018/01/25"
"5313","MH201525","AVZ23179","2017/09/15"
"5311","MH201526","AVZ23180","2017/09/08"
"5310","MH201523","AVZ23177","2017/09/06"
"5317","MH201522","AVZ23176","2017/10/16"
"7088","CY239992","ASU07542","2017/06/19"
"5312","MH201527","AVZ23181","2017/09/13"
"8205","CY240031","ASU07622","2017/06/21"
"8055","MH127021","AVR42601","2018/01/23"
"2063","MH701396","AXH81040","2018/01/16"
"5944","CY260747","AUH29657","2017/11/19"
"5336","MH201582","AVZ24017","2017/12/15"
"5320","MH201577","AVZ24012","2017/10/27"
"5307","MH201528","AVZ23182","2017/08/16"
"12277","MH294727","AWH63488","2017/09/21"
"5322","MH201589","AVZ24024","2017/10/28"
"5333","MH201532","AVZ23186","2017/10/09"
"5334","MH201533","AVZ23187","2017/10/18"
"5321","MH201590","AVZ24025","2017/10/28"
"6908","MH792448","AXQ12385","2018/03/14"
"10878","CY264561","AUM85838","2017/12/05"
"10457","CY261431","AUH31230","2017/11/20"
